🎬央视高清,#genre#
江苏卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/jiangsuHD/__op/default/__f//index.m3u8
江西卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/jiangxiHD/__op/default/__f//index.m3u8
河北卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/hebeiSD/__op/default/__f//index.m3u8
河南卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/henanHD/__op/default/__f//index.m3u8
浙江卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/zhejiangHD/__op/default/__f//index.m3u8
海南卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/hainanSD/__op/default/__f//index.m3u8
深圳卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/shenzhenHD/__op/default/__f//index.m3u8
湖北卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/hubeiSD/__op/default/__f//index.m3u8
湖南卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/hunanHD/__op/default/__f//index.m3u8
西藏卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/xizangSD/__op/default/__f//index.m3u8
贵州卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/guizhouHD/__op/default/__f//index.m3u8
辽宁卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//index.m3u8
重庆卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/chongqingHD/__op/default/__f//index.m3u8
青海卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/qinghaiSD/__op/default/__f//index.m3u8
黑龙江卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/heilongjiangHD/__op/default/__f//index.m3u8
三沙卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/sanshaSD/__op/default/__f//index.m3u8
教育卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/sdjiaoyuSD/__op/default/__f//index.m3u8
兵团卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/bingtuanSD/__op/default/__f//index.m3u8
重庆新闻高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/CQTVNewsHD/__op/default/__f//index.m3u8
重庆科教高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/CQTVkejiaoHD/__op/default/__f//index.m3u8
重庆影视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cqyingshiHD/__op/default/__f//index.m3u8
重庆文体娱乐高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cqwtylHD/__op/default/__f//index.m3u8
重庆少儿高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cqseHD/__op/default/__f//index.m3u8
重庆时尚生活高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cqssgwHD/__op/default/__f//index.m3u8
重庆新农村高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cqggncHD/__op/default/__f//index.m3u8
家有购物,http://baidu.live.cqccn.com/__cl/cg:live/__c/jygw/__op/default/__f//index.m3u8

🎬台湾频道,#genre#



🎬海外频道,#genre#
韩国MBC综艺频道,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8


🎬影视频道,#genre#
特辑电影院,https://epg.112114.xyz/douyu/3637778
火龙果说电影,https://epg.112114.xyz/douyu/9559158
牛叔说电影,https://epg.112114.xyz/douyu/2758565
牛叔说电影二台,https://epg.112114.xyz/douyu/10010651
周末电影院,https://epg.112114.xyz/douyu/3637726
周末电影院2,https://epg.112114.xyz/douyu/3637765
虫哥说电影,https://epg.112114.xyz/douyu/8915074
电影迷小雅,https://epg.112114.xyz/douyu/9639225
刘哔电影,https://epg.112114.xyz/douyu/2632223
刘老师说电影,https://epg.112114.xyz/douyu/8317926
老邪说电影,https://epg.112114.xyz/douyu/9222870
伯乐说电影V,https://epg.112114.xyz/douyu/9386057
3说电影,https://epg.112114.xyz/douyu/9643264
怪兽马提尼电影,https://epg.112114.xyz/douyu/9075333
贰哥电影,https://epg.112114.xyz/douyu/9338867
看电影了没V,https://epg.112114.xyz/douyu/9562616
末日说电影,https://epg.112114.xyz/douyu/9431125
俗哥看电影,https://epg.112114.xyz/douyu/2161818
松轩说电影,https://epg.112114.xyz/douyu/1524969
九叔说电影v,https://epg.112114.xyz/douyu/9348282
逗米说电影,https://epg.112114.xyz/douyu/421222
小涛讲电影V,https://epg.112114.xyz/douyu/8415464
东倾电影,https://epg.112114.xyz/douyu/8344251
星君说电影,https://epg.112114.xyz/douyu/8014467
谁语说电影,https://epg.112114.xyz/douyu/8705754
电影冷知识,https://epg.112114.xyz/douyu/9660835
独立鱼电影,https://epg.112114.xyz/douyu/2413555
小乔讲电影,https://epg.112114.xyz/douyu/8413908
指缝里看电影,https://epg.112114.xyz/douyu/9647834
小丽说电影,https://epg.112114.xyz/douyu/9368016
小岛讲电影,https://epg.112114.xyz/douyu/9390955
女汉子说电影,https://epg.112114.xyz/douyu/9395966
菠萝说电影,https://epg.112114.xyz/douyu/3714736
崽崽撩电影,https://epg.112114.xyz/douyu/8325511
小儛电影嘚啵嘚,https://epg.112114.xyz/douyu/8362978
幕撩电影,https://epg.112114.xyz/douyu/9486015
电影刘油果,https://epg.112114.xyz/douyu/3985805
发条张的电影最TOP,https://epg.112114.xyz/douyu/2164691
驴哥说电影,https://epg.112114.xyz/douyu/5376478
维立方电影,https://epg.112114.xyz/douyu/8706393
电影小班长,https://epg.112114.xyz/douyu/549693
珞珞说电影,https://epg.112114.xyz/douyu/3718888
电影黑匣子,https://epg.112114.xyz/douyu/8706652
电影漩涡,https://epg.112114.xyz/douyu/8706350
电影漩涡,https://epg.112114.xyz/douyu/8706350
电影先锋V,https://epg.112114.xyz/douyu/8711212
总之看电影,https://epg.112114.xyz/douyu/8978669
黑子影视haoyin1234,https://epg.112114.xyz/douyu/1339207
影视集装箱,https://epg.112114.xyz/douyu/8651489
影视英雄汇,https://epg.112114.xyz/douyu/10240495
贝爷求生影视,https://epg.112114.xyz/douyu/9661369
铁血影视汇,https://epg.112114.xyz/douyu/9649701
唯爱经典影视,https://epg.112114.xyz/douyu/7582564
秋秋刀鱼影视,https://epg.112114.xyz/douyu/10739683
秋秋刀鱼影视,https://epg.112114.xyz/douyu/10739683
云月影视,https://epg.112114.xyz/douyu/10714478
哈利影视,https://epg.112114.xyz/douyu/8475821
扁豆看电影,https://epg.112114.xyz/huya/16028551
扁豆看电影,https://epg.112114.xyz/huya/16028551
亮哥讲电影,https://epg.112114.xyz/huya/16144175
亮哥讲电影,https://epg.112114.xyz/huya/16144175
楚门聊电影,https://epg.112114.xyz/huya/16507906
电影最TOP,https://epg.112114.xyz/huya/11774959
